Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
66,0.01209,,,,,,,,,,,,,,
67,0.01321,,,,,,,,,,,,,,
68,0.01433,,,,,,,,,,,,,,
69,0.01546,,,,,,,,,,,,,,
70,0.01658,,,,,,,,,,,,,,
71,0.01771,,,,,,,,,,,,,,
72,0.01884,,,,,,,,,,,,,,
73,0.01996,,,,,,,,,,,,,,
74,0.02109,,,,,,,,,,,,,,
75,0.02222,,,,,,,,,,,,,,
76,0.02335,,,,,,,,,,,,,,
77,0.02448,,,,,,,,,,,,,,
78,0.0256,,,,,,,,,,,,,,
79,0.02673,,,,,,,,,,,,,,
80,0.02786,,,,,,,,,,,,,,
81,0.03163,,,,,,,,,,,,,,
82,0.03785,,,,,,,,,,,,,,
83,0.04449,,,,,,,,,,,,,,
84,0.05232,,,,,,,,,,,,,,
85,0.0613,,,,,,,,,,,,,,
86,0.0714,,,,,,,,,,,,,,
87,0.08258,,,,,,,,,,,,,,
88,0.09486,,,,,,,,,,,,,,
89,0.10838,,,,,,,,,,,,,,
90,0.12317,,,,,,,,,,,,,,
91,0.13705,,,,,,,,,,,,,,
92,0.14955,,,,,,,,,,,,,,
93,0.16338,,,,,,,,,,,,,,
94,0.17884,,,,,,,,,,,,,,
95,0.19528,,,,,,,,,,,,,,
96,0.21277,,,,,,,,,,,,,,
97,0.2313,,,,,,,,,,,,,,
98,0.25089,,,,,,,,,,,,,,
99,0.27152,,,,,,,,,,,,,,
100,0.29317,,,,,,,,,,,,,,
101,0.31583,,,,,,,,,,,,,,
102,0.33946,,,,,,,,,,,,,,
103,0.36401,,,,,,,,,,,,,,
104,0.38944,,,,,,,,,,,,,,
105,0.42619,,,,,,,,,,,,,,
106,0.45,,,,,,,,,,,,,,
107,0.45,,,,,,,,,,,,,,
108,0.45,,,,,,,,,,,,,,
109,0.45,,,,,,,,,,,,,,
110,0.45,,,,,,,,,,,,,,
111,0.45,,,,,,,,,,,,,,
112,0.45,,,,,,,,,,,,,,
113,0.45,,,,,,,,,,,,,,
114,0.45,,,,,,,,,,,,,,
115,0.45,,,,,,,,,,,,,,
116,0.45,,,,,,,,,,,,,,
117,0.45,,,,,,,,,,,,,,
118,0.45,,,,,,,,,,,,,,
119,0.45,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,
